0,1,2,3
Genesis,3,12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”"
Genesis,3,13,"The LORD God then asked the woman, “What have you done?” “The snake tricked me,” she answered. “And I ate some of that fruit.”"
Genesis,3,14,"So the LORD God said to the snake: “Because of what you have done, you will be the only animal to suffer this curse— for as long as you live, you will crawl on your stomach and eat dust."
Genesis,3,15,"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”"
Genesis,3,16,"Then the LORD said to the woman, “You will suffer terribly when you give birth. But you will still desire your husband, and he will rule over you.”"
Genesis,3,17,"The LORD said to the man, “You listened to your wife and ate fruit from that tree. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food."
Genesis,3,18,"Your food will be plants, but the ground will produce thorns and thistles."
Genesis,3,19,"You will have to sweat to earn a living; you were made out of soil, and you will once again turn into soil.”"
Genesis,3,20,The man Adam named his wife Eve because she would become the mother of all who live.
Genesis,3,21,Then the LORD God made clothes out of animal skins for the man and his wife.
Genesis,3,22,"The LORD said, “These people now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live for ever.”"
Genesis,3,23,"So the LORD God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made."
Genesis,3,24,"Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree."
Genesis,4,1,"Adam and Eve had a son. Then Eve said, “I'll name him Cain because I got him with the help of the LORD .”"
Genesis,4,2,"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land."
Genesis,4,3,"One day, Cain gave part of his harvest to the LORD,"
Genesis,4,4,"and Abel also gave an offering to the LORD . He killed the firstborn lamb from one of his sheep and gave the LORD the best parts of it. The LORD was pleased with Abel and his offering,"
Genesis,4,5,but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.
Genesis,4,6,The LORD said to Cain: What's wrong with you? Why do you have such an angry look on your face?
Genesis,4,7,"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!"
Genesis,4,8,"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain killed him."
Genesis,4,9,"Afterwards the LORD asked Cain, “Where is Abel?” “How should I know?” he answered. “Am I supposed to look after my brother?”"
Genesis,4,10,"Then the LORD said: Why have you done this terrible thing? You killed your own brother, and his blood flowed on to the ground. Now his blood is calling out for me to punish you."
Genesis,4,11,"And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm the land again."
Genesis,4,12,"If you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place."
Genesis,4,13,“This punishment is too hard!” Cain said.
Genesis,4,14,"“You're making me leave my home and live far from you. I will have to wander about without a home, and anyone could kill me.”"
Genesis,4,15,“No!” the LORD answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the LORD put a mark on Cain to warn everyone not to kill him.
Genesis,4,16,"But Cain had to go far from the LORD and live in the Land of Wandering, which is east of Eden."
Genesis,4,17,"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son."
Genesis,4,18,"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech."
Genesis,4,19,"Lamech married Adah, then Zillah."
Genesis,7,1,"The LORD told Noah: Take your whole family with you into the boat, because you are the only one on this earth who pleases me."
Genesis,7,2,Take seven pairs of every kind of animal that can be used for sacrifice and one pair of all others.
Genesis,7,3,Also take seven pairs of every kind of bird with you. Do this so there will always be animals and birds on the earth.
Genesis,7,4,"Seven days from now I will send rain that will last for forty days and nights, and I will destroy all other living creatures I have made."
Genesis,8,1,"God did not forget about Noah and the animals with him in the boat. So God made a wind blow, and the water started going down."
Genesis,8,2,"God stopped up the places where the water had been gushing out from under the earth. He also closed up the sky, and the rain stopped."
Genesis,8,3,For one hundred and fifty days the water slowly went down.
Genesis,8,4,"Then on the seventeenth day of the seventh month of the year, the boat came to rest somewhere in the Ararat mountains."
Genesis,8,5,"The water kept going down, and the mountain tops could be seen on the first day of the tenth month."
Genesis,9,1,"God said to Noah and his sons: I am giving you my blessing. Have a lot of children and grandchildren, so people will live everywhere on this earth."
Genesis,9,2,"All animals, birds, reptiles, and fish will be afraid of you. I have placed them under your control,"
Genesis,9,3,"and I have given them to you for food. From now on, you may eat them, as well as the green plants that you have always eaten."
Genesis,9,4,"But life is in the blood, and you must not eat any meat that still has blood in it."
Genesis,10,1,"After the flood Shem, Ham, and Japheth had many descendants."
Genesis,11,1,"At first everyone spoke the same language,"
Genesis,11,2,"but after some of them moved from the east and settled in Babylonia,"
Genesis,12,1,"The LORD said to Abram: Leave your country, your family, and your relatives and go to the land that I will show you."
Genesis,12,2,I will bless you and make your descendants into a great nation. You will become famous and be a blessing to others.
Genesis,12,3,"I will bless anyone who blesses you, but I will put a curse on anyone who puts a curse on you. Everyone on earth will be blessed because of you."
Genesis,13,1,Abram and Sarai took everything they owned and went to the Southern Desert. Lot went with them.
Genesis,13,2,"Abram was very rich. He owned many cattle, sheep, and goats, and had a lot of silver and gold."
Genesis,13,3,"Abram moved from place to place in the Southern Desert. And finally, he went north and set up his tents between Bethel and Ai,"
Genesis,13,4,where he had earlier camped and built an altar. There he worshipped the LORD.
Genesis,13,5,"Lot, who was travelling with him, also had sheep, goats, and cattle, as well as his own family and slaves."
Genesis,14,1,"About this time, King Amraphel of Babylonia, King Arioch of Ellasar, King Chedorlaomer of Elam, and King Tidal of Goiim"
Genesis,14,2,"attacked King Bera of Sodom, King Birsha of Gomorrah, King Shinab of Admah, King Shemeber of Zeboiim, and the king of Bela, also known as the city of Zoar."
Genesis,15,1,"Later the LORD spoke to Abram in a vision, “Abram, don't be afraid! I will protect you and reward you greatly.”"
Genesis,15,2,"But Abram answered, “ LORD All-Powerful, you have given me everything I could ask for, except children. And when I die, Eliezer of Damascus will get all I own."
Genesis,15,3,"You have not given me any children, and this servant of mine will inherit everything.”"
Genesis,15,4,"The LORD replied, “No, he won't! You will have a son of your own, and everything you have will be his.”"
Genesis,15,5,"Then the LORD took Abram outside and said, “Look at the sky and see if you can count the stars. That's how many descendants you will have.”"
Genesis,15,6,"Abram believed the LORD , and the LORD was pleased with him."
Genesis,15,7,"The LORD said to Abram, “I brought you here from Ur in Chaldea, and I gave you this land.”"
Genesis,15,8,"Abram asked, “ LORD God, how can I know the land will be mine?”"
Genesis,15,9,"Then the LORD told him, “Bring me a three-year-old cow, a three-year-old female goat, a three-year-old ram, a dove, and a young pigeon.”"
Genesis,15,10,Abram obeyed the LORD . Then he cut the animals in half and laid the two halves of each animal opposite each other on the ground. But he did not cut the doves and pigeons in half.
Genesis,15,11,"And when birds came down to eat the animals, Abram chased them away."
Genesis,15,12,"As the sun was setting, Abram fell into a deep sleep, and everything became dark and frightening."
Genesis,16,1,"Abram's wife Sarai had not been able to have any children. But she owned a young Egyptian slave woman named Hagar,"
Genesis,16,2,"and Sarai said to Abram, “The LORD has not given me any children. Sleep with my slave, and if she has a child, it will be mine.” Abram agreed,"
Genesis,16,3,and Sarai gave him Hagar to be his wife. This happened after Abram had lived in the land of Canaan for ten years.
Genesis,16,4,"Later, when Hagar knew she was going to have a baby, she became proud and was hateful to Sarai."
Genesis,16,5,"Then Sarai said to Abram, “It's all your fault! I gave you my slave woman, but she has been hateful to me ever since she found out she was pregnant. You have done me wrong, and you will have to answer to the LORD for this.”"
Genesis,16,6,"Abram said, “All right! She's your slave, and you can do whatever you want with her.” But Sarai began treating Hagar so harshly that she finally ran away."
Genesis,16,7,"Hagar stopped to rest at a spring in the desert on the road to Shur. While she was there, the angel of the LORD came to her"
Genesis,16,8,"and asked, “Hagar, where have you come from, and where are you going?” She answered, “I'm running away from Sarai, my owner.”"
Genesis,16,9,"The angel said, “Go back to Sarai and be her slave."
Genesis,17,1,"Abram was ninety-nine years old when the LORD appeared to him again and said, “I am God All-Powerful. If you obey me and always do right,"
Genesis,17,2,I will keep my solemn promise to you and give you more descendants than can be counted.”
Genesis,17,3,"Abram bowed with his face to the ground, and God said:"
Genesis,18,1,"One hot summer afternoon Abraham was sitting by the entrance to his tent near the sacred trees of Mamre, when the LORD appeared to him."
Genesis,18,2,"Abraham looked up and saw three men standing nearby. He quickly ran to meet them, bowed with his face to the ground,"
Genesis,18,3,"and said, “Please come to my home where I can serve you."
Genesis,18,4,"I'll have some water brought, so you can wash your feet, then you can rest under the tree."
Genesis,18,5,"Let me get you some food to give you strength before you leave. I would be honoured to serve you.” “Thank you very much,” they answered. “We accept your offer.”"
Genesis,18,6,"Abraham quickly went to his tent and said to Sarah, “Hurry! Get a large sack of flour and make some bread.”"
Genesis,18,7,"After saying this, he rushed off to his herd of cattle and picked out one of the best calves, which his servant quickly prepared."
Genesis,18,8,"He then served his guests some yoghurt and milk together with the meat. While they were eating, he stood near them under the trees,"
Genesis,18,9,"and they asked, “Where is your wife Sarah?” “She is there in the tent,” Abraham answered."
Genesis,18,10,"One of the guests was the LORD , and he said, “I'll come back about this time next year, and when I do, Sarah will already have a son.” Sarah was behind Abraham, listening at the entrance to the tent."
Genesis,18,11,"Abraham and Sarah were very old, and Sarah was well past the age for having children."
Genesis,18,12,"So she laughed and said to herself, “Now that I am worn out and my husband is old, will I really know such happiness?”"
Genesis,18,13,"The LORD asked Abraham, “Why did Sarah laugh? Does she doubt that she can have a child in her old age?"
Genesis,18,14,"I am the LORD ! There is nothing too difficult for me. I'll come back next year at the time I promised, and Sarah will already have a son.”"
Genesis,18,15,"Sarah was so frightened that she lied and said, “I didn't laugh.” “Yes, you did!” he answered."
Genesis,18,16,"When the three men got ready to leave, they looked down towards Sodom, and Abraham walked part of the way with them."
Genesis,18,17,"The LORD said to himself, “I should tell Abraham what I am going to do,"
Genesis,18,18,since his family will become a great and powerful nation that will be a blessing to all other nations on earth.
Genesis,18,19,"I have chosen him to teach his family to obey me for ever and to do what is right and fair. Then I will give Abraham many descendants, just as I promised.”"
Genesis,18,20,"The LORD said, “Abraham, I have heard that the people of Sodom and Gomorrah are doing all kinds of evil things."
Genesis,18,21,"Now I am going down to see for myself if those people really are that bad. If they aren't, I want to know about it.”"
Genesis,18,22,"The men turned and started towards Sodom. But the LORD stayed with Abraham,"
Genesis,18,23,"who asked, “ LORD , when you destroy the evil people, are you also going to destroy those who are good?"
Genesis,18,24,Wouldn't you spare the city if there are only fifty good people in it?
Genesis,18,25,"You surely wouldn't let them be killed when you destroy the evil ones. You are the judge of all the earth, and you do what is right.”"
Genesis,18,26,"The LORD replied, “If I find fifty good people in Sodom, I will save the city to keep them from being killed.”"
Genesis,18,27,"Abraham answered, “I am nothing more than the dust of the earth. Please forgive me, LORD , for daring to speak to you like this."
Genesis,18,28,"But suppose there are only forty-five good people in Sodom. Would you still wipe out the whole city?” “If I find forty-five good people,” the LORD replied, “I won't destroy the city.”"
Genesis,18,29,"“Suppose there are just forty good people?” Abraham asked. “Even for them,” the LORD replied, “I won't destroy the city.”"
Genesis,18,30,"Abraham said, “Please don't be angry, LORD , if I ask you what you will do if there are only thirty good people in the city.” “If I find thirty,” the LORD replied, “I still won't destroy it.”"
Genesis,18,31,"Then Abraham said, “I don't have any right to ask you, LORD , but what would you do if you find only twenty?” “Because of them, I won't destroy the city,” was the LORD 's answer."
Genesis,18,32,"Finally, Abraham said, “Please don't get angry, LORD , if I speak just once more. Suppose you find only ten good people there.” “For the sake of ten good people,” the LORD told him, “I still won't destroy the city.”"
Genesis,18,33,"After speaking with Abraham, the LORD left, and Abraham went back home."
Genesis,19,1,"That evening the two angels arrived in Sodom, while Lot was sitting near the city gate. When Lot saw them, he got up, bowed down low,"
Genesis,19,2,"and said, “Gentlemen, I am your servant. Please come to my home. You can wash your feet, spend the night, and be on your way in the morning.” They told him, “No, we'll spend the night in the city square.”"
Genesis,19,3,"But Lot kept insisting, until they finally agreed and went home with him. He baked some bread, cooked a meal, and they ate."
Genesis,19,4,"Before Lot and his guests could go to bed, every man in Sodom, young and old, came and stood outside his house"
Genesis,19,5,"and started shouting, “Where are your visitors? Send them out, so we can have sex with them!”"
Genesis,19,6,Lot went outside and shut the door behind him.
Genesis,19,7,"Then he said, “Friends, please don't do such a terrible thing!"
Genesis,19,8,"I have two daughters who have never been married. I'll bring them out, and you can do what you want with them. But don't harm these men. They are guests in my home.”"
Genesis,19,9,"“Don't get in our way,” the crowd answered. “You're an outsider. What right do you have to order us around? We'll do worse things to you than we're going to do to them.” The crowd kept arguing with Lot. Finally, they rushed towards the door to break it down."
Genesis,19,10,But the two angels in the house reached out and pulled Lot safely inside.
Genesis,19,11,"Then they struck everyone in the crowd blind, and none of them could even find the door."
Genesis,20,1,"Abraham moved to the Southern Desert, where he settled between Kadesh and Shur. Later he went to Gerar, and while there"
Genesis,20,2,he told everyone that his wife Sarah was his sister. So King Abimelech of Gerar had Sarah brought to him.
Genesis,20,3,"But God came to Abimelech in a dream and said, “You have taken a married woman, and for this you will die!”"
Genesis,21,1,The LORD was good to Sarah and kept his promise.
Genesis,21,2,"Although Abraham was very old, Sarah had a son exactly at the time God had said."
Genesis,21,3,"Abraham named his son Isaac,"
Genesis,21,4,"and when the boy was eight days old, Abraham circumcised him, just as the LORD had commanded."
Genesis,21,5,"Abraham was a hundred years old when Isaac was born,"
Genesis,21,6,"and Sarah said, “God has made me laugh. Now everyone will laugh with me."
Genesis,21,7,"Who would have dared to tell Abraham that some day I would have a child? But in his old age, I have given him a son.”"
Genesis,21,8,"The time came when Sarah no longer had to nurse Isaac, and on that day Abraham gave a big feast."
Genesis,22,1,"Some years later God decided to test Abraham, so he spoke to him. Abraham answered, “Here I am, LORD .”"
Genesis,22,2,"The LORD said, “Go and get Isaac, your only son, the one you dearly love! Take him to the land of Moriah, and I will show you a mountain where you must sacrifice him to me on the fires of an altar.”"
Genesis,22,3,So Abraham got up early the next morning and chopped wood for the fire. He put a saddle on his donkey and left with Isaac and two servants for the place where God had told him to go.
Genesis,22,4,Three days later Abraham looked into the distance and saw the place.
Genesis,22,5,"He told his servants, “Stay here with the donkey, while my son and I go over there to worship. We will come back.”"
Genesis,22,6,"Abraham put the wood on Isaac's shoulder, but he carried the hot coals and the knife. As the two of them walked along,"
Genesis,24,1,"Abraham was now a very old man. The LORD had made him rich, and he was successful in everything he did."
Genesis,24,2,"One day, Abraham called in his most trusted servant and said to him, “Solemnly promise me"
Genesis,24,3,"in the name of the LORD , who rules heaven and earth, that you won't choose a wife for my son Isaac from the people here in the land of Canaan."
Genesis,24,4,"Instead, go back to the land where I was born and find a wife for him from among my relatives.”"
Genesis,24,5,"But the servant asked, “What if the young woman I choose refuses to leave home and come here with me? Should I send Isaac there to look for a wife?”"
Genesis,24,6,"“No!” Abraham answered. “Don't ever do that, no matter what."
Genesis,24,7,"The LORD who rules heaven brought me here from the land where I was born and promised that he would give this land to my descendants for ever. When you go back there, the LORD will send his angel ahead of you to help you find a wife for my son."
Genesis,24,8,"If the woman refuses to come along, you don't have to keep this promise. But don't ever take my son back there.”"
Genesis,24,9,So the servant gave Abraham his word that he would do everything he had been told to do.
Genesis,24,10,"Soon after that, the servant loaded ten of Abraham's camels with valuable gifts. Then he set out for the city in northern Syria, where Abraham's brother Nahor lived."
Genesis,24,11,"When he got there, he let the camels rest near the well outside the city. It was late afternoon, the time when the women came out for water."
Genesis,24,12,"The servant prayed: You, LORD , are the God my master Abraham worships. Please keep your promise to him and let me find a wife for Isaac today."
Genesis,24,13,"The young women of the city will soon come to this well for water,"
Genesis,24,14,"and I'll ask one of them for a drink. If she gives me a drink and then offers to get some water for my camels, I'll know she is the one you have chosen and that you have kept your promise to my master."
Genesis,25,1,"Abraham married Keturah,"
Genesis,25,2,"and they had six sons: Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah."
Genesis,25,3,"Later, Jokshan became the father of Sheba and Dedan, and when Dedan grew up, he had three sons: Asshurim, Letushim, and Leummim."
Genesis,25,4,"Midian also had five sons: Ephah, Epher, Hanoch, Abida, and Eldaah."
Genesis,26,1,"Once during Abraham's lifetime, the fields had not produced enough grain, and now the same thing happened. So Isaac went to King Abimelech of the Philistines in the land of Gerar,"
Genesis,26,2,"because the LORD had appeared to Isaac and said: Isaac, stay away from Egypt! I will show you where I want you to go."
Genesis,26,3,"You will live there as a foreigner, but I will be with you and bless you. I will keep my promise to your father Abraham by giving this land to you and your descendants."
Genesis,26,4,"I will give you as many descendants as there are stars in the sky, and I will give your descendants all this land. They will be a blessing to every nation on earth,"
Genesis,26,5,because Abraham did everything I told him to do.
Genesis,26,6,Isaac moved to Gerar
Genesis,26,7,"with his beautiful wife Rebekah. He was afraid that someone might kill him to get her, and so he told everyone that Rebekah was his sister."
Genesis,26,8,"After Isaac had been there a long time, King Abimelech looked out of a window and saw Isaac hugging and kissing Rebekah."
Genesis,26,9,"Abimelech called him in and said, “Rebekah must be your wife! Why did you say she is your sister?” “Because I thought someone would kill me,” Isaac answered."
Genesis,26,10,"“Don't you know what you've done?” Abimelech exclaimed. “If someone had slept with her, you would have made our whole nation guilty!”"
Genesis,26,11,Then Abimelech warned his people that anyone who even touched Isaac or Rebekah would be put to death.
Genesis,26,12,"Isaac planted grain and had a good harvest that same year. The LORD blessed him,"
Genesis,26,13,and Isaac was so successful that he became very rich.
Genesis,26,14,"In fact, the Philistines were jealous of the large number of sheep, goats, and slaves that Isaac owned,"
Genesis,26,15,and they stopped up the wells that Abraham's servants had dug before his death.
Genesis,26,16,"Finally, Abimelech said, “Isaac, I want you to leave our country. You have become too powerful to stay here.”"
Genesis,26,17,"Isaac left and settled in Gerar Valley,"
Genesis,26,18,where he cleaned out those wells that the Philistines had stopped up. Isaac also gave each of the wells the same name that Abraham had given to them.
Genesis,26,19,"While his servants were digging in the valley, they found a spring-fed well."
Genesis,26,20,"But the shepherds of Gerar Valley quarrelled with Isaac's shepherds and claimed the water belonged to them. So the well was named “Quarrel”, because they had quarrelled with Isaac."
Genesis,26,21,"Isaac's servants dug another well, and the shepherds also quarrelled about it. So that well was named “Jealous”."
Genesis,26,22,"Finally, they dug one more well. There was no quarrelling this time, and the well was named “Lots of Room”, because the LORD had given them room and would make them very successful."
Genesis,26,23,"Isaac went on to Beersheba,"
Genesis,26,24,"where the LORD appeared to him that night and told him, “Don't be afraid! I am the God who was worshipped by your father Abraham, my servant. I will be with you and bless you, and because of Abraham I will give you many descendants.”"
Genesis,26,25,"Isaac built an altar there and worshipped the LORD . Then he set up camp, and his servants started digging a well."
Genesis,26,26,"Meanwhile, Abimelech had left Gerar and was taking his adviser Ahuzzath and his army commander Phicol to see Isaac."
Genesis,26,27,"When they arrived, Isaac asked, “Why are you here? Didn't you send me away because you hated me?”"
Genesis,26,28,"They answered, “We now know for certain that the LORD is with you, and we have decided there needs to be a peace treaty between you and us. So let's make a solemn agreement"
Genesis,26,29,"not to harm each other. Remember, we have never hurt you, and when we sent you away, we let you go in peace. The LORD has truly blessed you.”"
Genesis,26,30,"Isaac gave a big feast for them, and everyone ate and drank."
Genesis,26,31,"Early the next morning Isaac and the others made a solemn agreement, then he let them go in peace."
Genesis,26,32,"Later that same day Isaac's servants came and said, “We've struck water!”"
Genesis,26,33,"So Isaac named the well Shibah, and the town is still called Beersheba."
Genesis,26,34,"When Esau was forty, he married Judith the daughter of Beeri the Hittite and Basemath the daughter of Elon the Hittite."
Genesis,26,35,But these two women brought a lot of grief to his parents Isaac and Rebekah.
Genesis,27,1,"After Isaac had become old and almost blind, he called in his firstborn son Esau, who asked him, “Father, what can I do for you?”"
Genesis,27,2,"Isaac replied, “I am old and might die at any time."
Genesis,27,3,"So take your bow and arrows, then go out in the fields, and kill a wild animal."
Genesis,27,4,Cook some of that tasty food that I love so much and bring it to me. I want to eat it once more and give you my blessing before I die.”
Genesis,27,5,"Rebekah had been listening, and as soon as Esau left to go hunting,"
Genesis,27,6,"she said to Jacob, “I heard your father tell Esau"
Genesis,27,7,to kill a wild animal and cook some tasty food for your father before he dies. Your father said this because he wants to bless your brother with the LORD as his witness.
Genesis,27,8,"Now, my son, listen carefully to what I want you to do."
Genesis,27,9,Go and kill two of your best young goats and bring them to me. I'll cook the tasty food that your father loves so much.
Genesis,27,10,"Then you can take it to him, so he can eat it and give you his blessing before he dies.”"
Genesis,27,11,"“My brother Esau is a hairy man,” Jacob reminded her. “And I am not."
Genesis,27,12,"If my father touches me and realizes I am trying to trick him, he will put a curse on me instead of giving me a blessing.”"
Genesis,27,13,"Rebekah insisted, “Let his curse fall on me! Just do what I say and bring me the meat.”"
Genesis,27,14,"So Jacob brought the meat to his mother, and she cooked the tasty food that his father liked."
Genesis,27,15,Then she took Esau's best clothes and put them on Jacob.
Genesis,27,16,She also covered the smooth part of his hands and neck with goatskins
Genesis,27,17,and gave him some bread and the tasty food she had cooked.
Genesis,27,18,"Jacob went to his father and said, “Father, here I am.” “Which one of my sons are you?” his father asked."
Genesis,27,19,"Jacob replied, “I am Esau, your firstborn, and I have done what you told me. Please sit up and eat the meat I have brought. Then you can give me your blessing.”"
Genesis,27,20,"Isaac asked, “My son, how did you find an animal so quickly?” “The LORD your God was kind to me,” Jacob answered."
Genesis,27,21,"“My son,” Isaac said, “come closer, where I can touch you and find out if you really are Esau.”"
Genesis,27,22,"Jacob went closer. His father touched him and said, “You sound like Jacob, but your hands feel hairy like Esau's.”"
Genesis,27,23,"And so Isaac blessed Jacob, thinking he was Esau."
Genesis,27,24,"Isaac asked, “Are you really my son Esau?” “Yes, I am,” Jacob answered."
Genesis,27,25,"So Isaac told him, “Serve me the wild meat, and I can give you my blessing.” Jacob gave him some meat, and he ate it. He also gave him some wine, and he drank it."
Genesis,27,26,"Then Isaac said, “Son, come over here and kiss me.”"
Genesis,27,27,"While Jacob was kissing him, Isaac caught the smell of his clothes and said: “The smell of my son is like a field the LORD has blessed."
Genesis,27,28,"God will bless you, my son, with dew from heaven and with fertile fields, rich with grain and grapes."
Genesis,27,29,"Nations will be your servants and bow down to you. You will rule over your brothers, and they will kneel at your feet. Anyone who curses you will be cursed; anyone who blesses you will be blessed.”"
Genesis,27,30,"Straight after Isaac had given Jacob his blessing and Jacob had gone, Esau came back from hunting."
Genesis,27,31,"He cooked the tasty food, brought it to his father, and said, “Father, please sit up and eat the meat I have brought you, so you can give me your blessing.”"
Genesis,27,32,"“Who are you?” Isaac asked. “I am Esau, your firstborn son.”"
Genesis,27,33,"Isaac started trembling and said, “Then who brought me some wild meat just before you came in? I ate it and gave him a blessing that cannot be taken back.”"
Genesis,27,34,"Esau cried loudly and begged, “Father, give me a blessing too!”"
